ticker,company_name,sector,industry,market_cap,country
MMM,3M Company,industrials,Conglomerates,81660567552,United States
AOS,A. O. Smith Corporation,industrials,Specialty Industrial Machinery,9551854592,United States
ABT,Abbott Laboratories,healthcare,Medical Devices,218957905920,United States
ABBV,AbbVie Inc.,healthcare,Drug Manufacturers - General,370723487744,United States
ACN,Accenture plc,technology,Information Technology Services,190317248512,Ireland
ADBE,Adobe Inc.,technology,Software - Application,168822669312,United States
AMD,"Advanced Micro Devices, Inc.",technology,Semiconductors,173099679744,United States
AES,The AES Corporation,utilities,Utilities - Diversified,9176403968,United States
AFL,Aflac Incorporated,financial-services,Insurance - Life,59321196544,United States
A,"Agilent Technologies, Inc.",healthcare,Diagnostics & Research,34233229312,United States
APD,"Air Products and Chemicals, Inc.",basic-materials,Specialty Chemicals,64716087296,United States
ABNB,"Airbnb, Inc.",consumer-cyclical,Travel Services,78990958592,United States
AKAM,"Akamai Technologies, Inc.",technology,Software - Infrastructure,12193796096,United States
ALB,Albemarle Corporation,basic-materials,Specialty Chemicals,9087217664,United States
ARE,"Alexandria Real Estate Equities, Inc.",real-estate,REIT - Office,16727610368,United States
ALGN,"Align Technology, Inc.",healthcare,Medical Instruments & Supplies,12391995392,United States
ALLE,Allegion plc,industrials,Security & Protection Services,10975707136,Ireland
LNT,Alliant Energy Corporation,utilities,Utilities - Regulated Electric,16179296256,United States
ALL,The Allstate Corporation,financial-services,Insurance - Property & Casualty,55096254464,United States
GOOGL,Alphabet Inc.,communication-services,Internet Content & Information,1998867529728,United States
GOOG,Alphabet Inc.,communication-services,Internet Content & Information,1997874790400,United States
MO,"Altria Group, Inc.",consumer-defensive,Tobacco,97297481728,United States
AMZN,"Amazon.com, Inc.",consumer-cyclical,Internet Retail,2075241611264,United States
AMCR,Amcor plc,consumer-cyclical,Packaging & Containers,13709049856,Switzerland
AEE,Ameren Corporation,utilities,Utilities - Regulated Electric,26744983552,United States
AEP,"American Electric Power Company, Inc.",utilities,Utilities - Regulated Electric,56219111424,United States
AXP,American Express Company,financial-services,Credit Services,189117415424,United States
AIG,"American International Group, Inc.",financial-services,Insurance - Diversified,49572974592,United States
AMT,American Tower Corporation,real-estate,REIT - Specialty,101620473856,United States
AWK,"American Water Works Company, Inc.",utilities,Utilities - Regulated Water,27509010432,United States
AMP,"Ameriprise Financial, Inc.",financial-services,Asset Management,49517678592,United States
AME,"AMETEK, Inc.",industrials,Specialty Industrial Machinery,40419954688,United States
AMGN,Amgen Inc.,healthcare,Drug Manufacturers - General,168440610816,United States
APH,Amphenol Corporation,technology,Electronic Components,80512598016,United States
ADI,"Analog Devices, Inc.",technology,Semiconductors,101625479168,United States
ANSS,"ANSYS, Inc.",technology,Software - Application,28286111744,United States
AON,Aon plc,financial-services,Insurance Brokers,84416430080,Ireland
APA,APA Corporation,energy,Oil & Gas E&P,7406881792,United States
APO,"Apollo Global Management, Inc.",financial-services,Asset Management,82365906944,United States
AAPL,Apple Inc.,technology,Consumer Electronics,3220287520768,United States
AMAT,"Applied Materials, Inc.",technology,Semiconductor Equipment & Materials,122893893632,United States
APTV,Aptiv PLC,consumer-cyclical,Auto Parts,14328902656,Switzerland
ACGL,Arch Capital Group Ltd.,financial-services,Insurance - Diversified,34819989504,Bermuda
ADM,Archer-Daniels-Midland Company,consumer-defensive,Farm Products,22164862976,United States
ANET,Arista Networks Inc,technology,Computer Hardware,104936783872,United States
AJG,Arthur J. Gallagher & Co.,financial-services,Insurance Brokers,84792180736,United States
AIZ,"Assurant, Inc.",financial-services,Insurance - Property & Casualty,10586809344,United States
T,AT&T Inc.,communication-services,Telecom Services,192913588224,United States
ATO,Atmos Energy Corporation,utilities,Utilities - Regulated Gas,23637774336,United States
ADSK,"Autodesk, Inc.",technology,Software - Application,56949788672,United States
ADP,"Automatic Data Processing, Inc.",technology,Software - Application,119768580096,United States
AZO,"AutoZone, Inc.",consumer-cyclical,Specialty Retail,60465713152,United States
AVB,"AvalonBay Communities, Inc.",real-estate,REIT - Residential,29805268992,United States
AVY,Avery Dennison Corporation,consumer-cyclical,Packaging & Containers,13808784384,United States
AXON,"Axon Enterprise, Inc.",industrials,Aerospace & Defense,43043975168,United States
BKR,Baker Hughes Company,energy,Oil & Gas Equipment & Services,43366903808,United States
BALL,Ball Corporation,consumer-cyclical,Packaging & Containers,14387206144,United States
BAC,Bank of America Corporation,financial-services,Banks - Diversified,323651207168,United States
BAX,Baxter International Inc.,healthcare,Medical Instruments & Supplies,16972802048,United States
BDX,"Becton, Dickinson and Company",healthcare,Medical Instruments & Supplies,65907535872,United States
BRK-B,Berkshire Hathaway Inc.,financial-services,Insurance - Diversified,1130001989632,United States
BBY,"Best Buy Co., Inc.",consumer-cyclical,Specialty Retail,15539921920,United States
TECH,Bio-Techne Corporation,healthcare,Biotechnology,9580148736,United States
BIIB,Biogen Inc.,healthcare,Drug Manufacturers - General,20580327424,United States
BLK,"BlackRock, Inc.",financial-services,Asset Management,147794640896,United States
BX,Blackstone Inc.,financial-services,Asset Management,181140766720,United States
BK,The Bank of New York Mellon Corporation,financial-services,Banks - Diversified,60367257600,United States
BA,The Boeing Company,industrials,Aerospace & Defense,137449701376,United States
BKNG,Booking Holdings Inc.,consumer-cyclical,Travel Services,150461300736,United States
BWA,BorgWarner Inc.,consumer-cyclical,Auto Parts,6269838848,United States
BSX,Boston Scientific Corporation,healthcare,Medical Devices,148831420416,United States
BMY,Bristol-Myers Squibb Company,healthcare,Drug Manufacturers - General,124122742784,United States
AVGO,Broadcom Inc.,technology,Semiconductors,897367146496,United States
BR,"Broadridge Financial Solutions, Inc.",technology,Information Technology Services,27325106176,United States
BRO,"Brown & Brown, Inc.",financial-services,Insurance Brokers,34008752128,United States
BF-B,Brown-Forman Corporation,consumer-defensive,Beverages - Wineries & Distilleries,16389302272,United States
BLDR,"Builders FirstSource, Inc.",industrials,Building Products & Equipment,14367375360,United States
BG,Bunge Global SA,consumer-defensive,Farm Products,9782342656,United States
BXP,"BXP, Inc.",real-estate,REIT - Office,12120029184,United States
CHRW,"C.H. Robinson Worldwide, Inc.",industrials,Integrated Freight & Logistics,11865257984,United States
CDNS,"Cadence Design Systems, Inc.",technology,Software - Application,72431665152,United States
